Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,symmetric,symmetric,0.6622516069741665
75% Corpus,7,asymmetric,0.01,0.6937242276556319
75% Corpus,7,asymmetric,0.31,0.66402508133156
75% Corpus,7,asymmetric,0.61,0.5895731845730445
75% Corpus,7,asymmetric,0.9099999999999999,0.6261197709604411
75% Corpus,7,asymmetric,symmetric,0.6721451083504506
75% Corpus,8,0.01,0.01,0.6532613854837123
75% Corpus,8,0.01,0.31,0.6362051512844485
75% Corpus,8,0.01,0.61,0.6179542642040095
75% Corpus,8,0.01,0.9099999999999999,0.5802583122821823
75% Corpus,8,0.01,symmetric,0.6500693013313916
75% Corpus,8,0.31,0.01,0.6518716227807976
75% Corpus,8,0.31,0.31,0.6432547774115622
75% Corpus,8,0.31,0.61,0.5967242495418225
75% Corpus,8,0.31,0.9099999999999999,0.5836101626934352
75% Corpus,8,0.31,symmetric,0.6564946082475711
75% Corpus,8,0.61,0.01,0.6572960088441393
75% Corpus,8,0.61,0.31,0.6507309735278082
75% Corpus,8,0.61,0.61,0.6314027559204454
75% Corpus,8,0.61,0.9099999999999999,0.6012336680936836
75% Corpus,8,0.61,symmetric,0.6540872148578223
75% Corpus,8,0.9099999999999999,0.01,0.6512884211341947
75% Corpus,8,0.9099999999999999,0.31,0.624155842680302
75% Corpus,8,0.9099999999999999,0.61,0.610297813053435
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.6179032332315328
75% Corpus,8,0.9099999999999999,symmetric,0.6319825681778609
75% Corpus,8,symmetric,0.01,0.6479458296793138
75% Corpus,8,symmetric,0.31,0.6348547727308469
75% Corpus,8,symmetric,0.61,0.6185722587368941
75% Corpus,8,symmetric,0.9099999999999999,0.5510841920895511
75% Corpus,8,symmetric,symmetric,0.6518516407882707
75% Corpus,8,asymmetric,0.01,0.6662516379198647
75% Corpus,8,asymmetric,0.31,0.6627280177625453
75% Corpus,8,asymmetric,0.61,0.6445624369837795
75% Corpus,8,asymmetric,0.9099999999999999,0.613519721822656
75% Corpus,8,asymmetric,symmetric,0.6501799870187182
75% Corpus,9,0.01,0.01,0.6608055556245497
75% Corpus,9,0.01,0.31,0.6269079177882365
75% Corpus,9,0.01,0.61,0.5929830858845666
75% Corpus,9,0.01,0.9099999999999999,0.5430538380210703
75% Corpus,9,0.01,symmetric,0.6518458187810257
75% Corpus,9,0.31,0.01,0.6519522894693793
75% Corpus,9,0.31,0.31,0.6283336943925997
75% Corpus,9,0.31,0.61,0.5768790910568917
75% Corpus,9,0.31,0.9099999999999999,0.5236412359177977
75% Corpus,9,0.31,symmetric,0.6506683537624387
75% Corpus,9,0.61,0.01,0.6585428367964004
75% Corpus,9,0.61,0.31,0.6407857524831341
75% Corpus,9,0.61,0.61,0.6186554261625363
75% Corpus,9,0.61,0.9099999999999999,0.5967388513929515
75% Corpus,9,0.61,symmetric,0.6574538185974355
75% Corpus,9,0.9099999999999999,0.01,0.6366251817337145
75% Corpus,9,0.9099999999999999,0.31,0.622375322933575
75% Corpus,9,0.9099999999999999,0.61,0.6028287439197844
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5996084592959265
75% Corpus,9,0.9099999999999999,symmetric,0.6324777829568382
75% Corpus,9,symmetric,0.01,0.6627868971896209
75% Corpus,9,symmetric,0.31,0.6305150838567583
75% Corpus,9,symmetric,0.61,0.5801306732613484
75% Corpus,9,symmetric,0.9099999999999999,0.5402616449204621
75% Corpus,9,symmetric,symmetric,0.6388617383871888
75% Corpus,9,asymmetric,0.01,0.6867644870979353
75% Corpus,9,asymmetric,0.31,0.5932218029516784
75% Corpus,9,asymmetric,0.61,0.5813527991861407
